Year,Status (Number of Children),Credit Rate,Min Income for Max Credit,Max Credit,Phaseout Rate,Beginning Inc,Ending Inc,,,deflate
1985,0,0,Inf,0,0,0,0,,,1.7863132
,1,11,5000,550,12.22,6500,11000,,,1.7863132
,2,11,5000,500,12.22,6500,11000,,,1.7863132
1991,0,0,Inf,0,0,0,0,,,1.4954891
,1,16.7,7140,1192,11.93,11250,21250,,,1.4954891
,2,17.3,7140,1235,12.36,11250,21250,,,1.4954891
1998,0,7.65,4460,341,7.65,5570,10030,,,1.2353661
,1,34,6680,2271,15.98,12260,26473,,,1.2353661
,2,40,9390,3756,21.06,12260,30095,,,1.2353661
2005,0,7.65,5220,399,7.65,6530,11750,,,1.1207973
,1,34,7830,2662,15.98,14370,31030,,,1.1207973
,2,40,11000,4400,21.06,14370,35623,,,1.1207973
,,,,,,,,,,
,,,,,,,,,,
policy,Status (Number of Children),Credit Rate,Min Income for Max Credit,Max Credit,Phaseout Rate,Beginning Inc,Ending Inc,,,
1,0,0,Inf,0,0,0,0,,,
1,1,11,8931.566,982.47226,15.98,11611.0358,19649.4452,,,
1,2,11,8931.566,893.1566,20.22,11611.0358,19649.4452,,,
2,0,0,Inf,0,0,0,0,,,
2,1,34,10677.79217,1782.623007,15.98,16824.25238,31779.14338,,,
2,2,40,10677.79217,1846.929039,21.06,16824.25238,31779.14338,,,
3,0,7.65,5509.732806,421.2598401,7.65,6880.989177,12390.72198,,,
3,1,34,8252.245548,2805.516413,15.98,15145.58839,32703.84677,,,
3,2,40,11600.08768,4640.035072,21.06,15145.58839,37178.34278,,,
4,0,7.65,5850.561906,447.1981227,8.574099345,7318.806369,13169.36828,,,
4,1,34,8775.842859,2983.562413,17.91034085,16105.8572,34778.34022,,,
4,2,40,12328.7703,4931.50812,23.60399114,16105.8572,39926.16222,,,